budget(in million),revenue(in million),content_score,user_score,genres,director,release_year,release_month,release_day,release_weekday,run_time (in minuts),title,url
150.0,430.238384,100,79,"Action,Adventure,Fantasy",Destin Daniel Cretton,2021,9,3,4,132,Shang-Chi and the Legend of the Ten Rings,https://www.themoviedb.org/movie/566525
242.0,708.0,100,76,"Adventure,Action,Thriller",Cary Joji Fukunaga,2021,9,30,3,163,No Time to Die,https://www.themoviedb.org/movie/370172
110.0,424.0,100,68,"Science Fiction,Action,Adventure",Kelly Marcel,2021,10,1,4,97,Venom: Let There Be Carnage,https://www.themoviedb.org/movie/580489
nan,nan,100,82,"Science Fiction,Drama,Adventure",Miguel Sapochnik,2021,11,4,3,115,Finch,https://www.themoviedb.org/movie/522402
nan,nan,100,56,"Action,Thriller,Science Fiction",Edward Drake,2021,12,16,3,108,Apex,https://www.themoviedb.org/movie/763164
14.0,19.0,100,73,"Romance,Drama",Castille Landon,2021,9,30,3,99,After We Fell,https://www.themoviedb.org/movie/744275
200.0,282.417282,100,71,"Action,Adventure,Science Fiction",Chloé Zhao,2021,11,5,4,157,Eternals,https://www.themoviedb.org/movie/524434
0.25,nan,100,63,"War,History,Drama,Adventure",Izu Ojukwu,2021,11,4,3,120,Amina,https://www.themoviedb.org/movie/885110
165.0,352.769291,100,80,"Science Fiction,Adventure",Denis Villeneuve,2021,10,22,4,155,Dune,https://www.themoviedb.org/movie/438631
nan,nan,100,70,"Action,Crime,Thriller",Shay Hatten,2021,10,29,4,127,Army of Thieves,https://www.themoviedb.org/movie/796499
nan,nan,100,67,Western,Jeymes Samuel,2021,10,22,4,139,The Harder They Fall,https://www.themoviedb.org/movie/618162
110.0,331.096766,100,78,"Comedy,Action,Adventure,Science Fiction",Matt Lieberman,2021,9,17,4,115,Free Guy,https://www.themoviedb.org/movie/550988
200.0,nan,100,69,"Action,Comedy,Crime,Thriller",Rawson Marshall Thurber,2021,11,5,4,115,Red Notice,https://www.themoviedb.org/movie/512195
nan,22.0,100,81,"Animation,Comedy,Family",Norman Bridwell,2021,11,10,2,97,Clifford the Big Red Dog,https://www.themoviedb.org/movie/585245
nan,nan,86,48,Horror,Andres Beltran,2021,7,29,3,nan,Tarumama,https://www.themoviedb.org/movie/775943
nan,nan,93,82,"Animation,Action",Takayuki Hamana,2021,7,2,4,nan,The Seven Deadly Sins: Cursed by Light,https://www.themoviedb.org/movie/843241
nan,nan,100,43,Thriller,Doron Paz,2021,12,9,3,109,Plan A,https://www.themoviedb.org/movie/714968
116.0,855.013954,100,68,"Science Fiction,Action",Mike Zeck,2018,10,5,4,112,Venom,https://www.themoviedb.org/movie/335983
nan,nan,100,61,Horror,Julien Maury,2021,6,30,2,85,The Deep House,https://www.themoviedb.org/movie/672582
30.0,0.344931,100,65,"Action,Thriller,Crime",Navot Papushado,2021,7,14,2,114,Gunpowder Milkshake,https://www.themoviedb.org/movie/574060
88.0,36.964325,100,68,"Action,Adventure",Evan Spiliotopoulos,2021,7,23,4,121,Snake Eyes: G.I. Joe Origins,https://www.themoviedb.org/movie/568620
nan,nan,100,38,"Horror,Thriller,Comedy",Bartosz M. Kowalski,2021,10,27,2,97,Nobody Sleeps in the Woods Tonight 2,https://www.themoviedb.org/movie/871964
nan,nan,50,60,"Thriller,TV Movie",unknown,2021,7,8,3,86,Next-Door Nightmare,https://www.themoviedb.org/movie/854442
nan,105.0,100,73,"Animation,Comedy,Family",Dan Hernandez,2021,10,1,4,93,The Addams Family 2,https://www.themoviedb.org/movie/639721
nan,nan,100,71,"Crime,Action,Thriller",Jaume Balagueró,2021,3,26,4,118,The Vault,https://www.themoviedb.org/movie/630004
nan,nan,100,50,"Comedy,Family",Mick Davis,2021,11,7,6,105,Father Christmas Is Back,https://www.themoviedb.org/movie/762469
20.0,127.0,100,69,"Horror,Thriller",David Gordon Green,2021,10,15,4,105,Halloween Kills,https://www.themoviedb.org/movie/610253
nan,nan,100,63,"Action,Thriller",Kirk Caouette,2021,3,5,4,88,American Badger,https://www.themoviedb.org/movie/768449
nan,nan,100,nan,"Action,Adventure,Science Fiction",Stan Lee,2021,12,17,4,nan,Spider-Man: No Way Home,https://www.themoviedb.org/movie/634649
15.8,503.063688,93,84,"Animation,Action,Adventure,Fantasy",Haruo Sotozaki,2021,8,13,4,117,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,https://www.themoviedb.org/movie/635302
200.0,49.010641,100,80,"Animation,Comedy,Family,Fantasy",Enrico Casarosa,2021,6,17,3,95,Luca,https://www.themoviedb.org/movie/508943
